invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,revenue,age_group,month
I174250,C204553,Female,42,Books,5,75.75,Cash,16-12-22,Metrocity,378.75,36-45,December
I195396,C285161,Male,51,Toys,2,71.68,Debit Card,16-05-21,Istinye Park,143.36,46-55,May
I196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,20-04-22,Mall of Istanbul,1016.5,18-25,April
I217053,C192344,Male,50,Shoes,4,2400.68,Cash,10-10-22,Emaar Square Mall,9602.72,46-55,October
I655874,C447138,Female,65,Shoes,3,1800.51,Cash,23-08-22,Cevahir AVM,5401.53,56-65,August
I209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,29-04-21,Istinye Park,365.94,26-35,April
I161949,C159164,Female,66,Toys,3,107.52,Debit Card,04-07-22,Mall of Istanbul,322.56,65+,July
I331891,C501658,Male,23,Clothing,1,300.08,Credit Card,21-11-21,Emaar Square Mall,300.08,18-25,November
I768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,23-02-22,Kanyon,5401.53,26-35,February
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,11-07-21,Metrocity,4801.28,46-55,July
I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,30-08-22,Zorlu Center,9602.72,65+,August
I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,04-01-23,Emaar Square Mall,5.23,65+,January
I147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,21-06-22,Kanyon,7502,36-45,June
I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,08-07-22,Metrocity,1200.32,56-65,July
I106674,C204279,Male,54,Clothing,2,600.16,Cash,27-02-22,Kanyon,1200.32,46-55,February
I473411,C452806,Male,24,Clothing,1,300.08,Cash,19-12-22,Metropol AVM,300.08,18-25,December
I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,10-09-21,Zorlu Center,47.07,46-55,September
I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,14-02-22,Metropol AVM,162.64,65+,February
I752693,C306662,Female,48,Cosmetics,3,121.98,Cash,28-04-22,Metrocity,365.94,46-55,April
I826174,C607615,Female,40,Shoes,4,2400.68,Cash,20-06-22,Metrocity,9602.72,36-45,June
I296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,21-04-22,Kanyon,5401.53,36-45,April
I117291,C134449,Male,46,Books,5,75.75,Credit Card,09-12-22,Zorlu Center,378.75,46-55,December
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,12-01-23,Mall of Istanbul,365.94,18-25,January
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,07-11-22,Zorlu Center,4801.28,36-45,November
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,07-02-22,Zorlu Center,365.94,<18,February
I304265,C653385,Female,22,Books,5,75.75,Debit Card,13-06-21,Forum Istanbul,378.75,18-25,June
I246562,C227070,Female,61,Cosmetics,5,203.3,Cash,23-08-21,Emaar Square Mall,1016.5,56-65,August
I202367,C317478,Female,41,Books,3,45.45,Cash,24-02-23,Istinye Park,136.35,36-45,February
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,12-01-23,Istinye Park,162.64,46-55,January
I160777,C626042,Female,43,Technology,4,4200,Cash,22-02-22,Metrocity,16800,36-45,February
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,12-03-21,Viaport Outlet,47.07,36-45,March
I148377,C841663,Female,29,Clothing,1,300.08,Cash,02-01-22,Istinye Park,300.08,26-35,January
I258195,C213742,Male,43,Toys,2,71.68,Cash,26-11-21,Kanyon,143.36,36-45,November
I300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,21-04-21,Kanyon,4801.28,18-25,April
I263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,23-06-21,Kanyon,47.07,65+,June
I335713,C158837,Female,36,Books,4,60.6,Cash,14-12-21,Kanyon,242.4,36-45,December
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,09-06-22,Mall of Istanbul,7502,56-65,June
I207205,C716161,Female,33,Clothing,1,300.08,Debit Card,26-11-21,Kanyon,300.08,26-35,November
I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,05-02-21,Kanyon,4801.28,26-35,February
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,06-03-22,Mall of Istanbul,4801.28,65+,March
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,09-05-22,Metropol AVM,650.56,26-35,May
I181109,C119549,Male,22,Toys,3,107.52,Cash,17-10-22,Mall of Istanbul,322.56,18-25,October
I221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,22-01-22,Cevahir AVM,47.07,56-65,January
I204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,14-03-21,Istinye Park,293.25,18-25,March
I115146,C126956,Female,24,Cosmetics,5,203.3,Cash,27-04-22,Metrocity,1016.5,18-25,April
I883721,C236859,Female,44,Technology,5,5250,Credit Card,19-11-21,Mall of Istanbul,26250,36-45,November
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,10-09-22,Forum Istanbul,15004.25,26-35,September
I251356,C493252,Female,47,Cosmetics,4,162.64,Cash,04-09-21,Kanyon,650.56,46-55,September
I292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,21-08-22,Mall of Istanbul,130.75,36-45,August
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,02-10-21,Emaar Square Mall,15004.25,56-65,October
I260525,C258404,Male,67,Toys,3,107.52,Cash,07-01-23,Emaar Square Mall,322.56,65+,January
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,08-06-21,Cevahir AVM,105.57,36-45,June
I739573,C199947,Female,40,Clothing,5,1500.4,Debit Card,17-04-21,Kanyon,7502,36-45,April
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,04-09-21,Metrocity,9602.72,65+,September
I190444,C606418,Female,47,Food & Beverage,5,26.15,Cash,20-07-22,Mall of Istanbul,130.75,46-55,July
I309552,C111611,Female,53,Food & Beverage,4,20.92,Credit Card,14-07-21,Istinye Park,83.68,46-55,July
I306076,C679476,Male,40,Toys,2,71.68,Cash,01-11-22,Emaar Square Mall,143.36,36-45,November
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,06-01-23,Metrocity,650.56,56-65,January
I151332,C168491,Male,30,Souvenir,2,23.46,Cash,25-03-21,Kanyon,46.92,26-35,March
I340014,C169650,Female,66,Clothing,2,600.16,Credit Card,08-09-22,Istinye Park,1200.32,65+,September
I249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,18-02-22,Mall of Istanbul,5.23,18-25,February
I227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,22-04-21,Kanyon,20.92,46-55,April
I140663,C218383,Female,52,Clothing,5,1500.4,Cash,15-10-22,Zorlu Center,7502,46-55,October
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,07-04-22,Mall of Istanbul,15004.25,26-35,April
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,07-06-22,Mall of Istanbul,5.23,65+,June
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,22-01-23,Metropol AVM,4801.28,56-65,January
I289643,C584700,Female,43,Technology,2,2100,Cash,22-08-22,Kanyon,4200,36-45,August
I722319,C157070,Female,59,Toys,1,35.84,Debit Card,03-10-21,Kanyon,35.84,56-65,October
I317105,C177975,Female,30,Souvenir,5,58.65,Debit Card,29-07-21,Kanyon,293.25,26-35,July
I215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,16-12-22,Metrocity,162.64,18-25,December
I154469,C807389,Female,29,Toys,3,107.52,Debit Card,03-06-21,Mall of Istanbul,322.56,26-35,June
I172458,C277842,Female,19,Clothing,2,600.16,Debit Card,17-12-21,Cevahir AVM,1200.32,18-25,December
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,31-12-22,Metropol AVM,7502,56-65,December
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,09-08-22,Forum Istanbul,47.07,36-45,August
I282854,C282974,Female,33,Clothing,3,900.24,Cash,31-07-22,Kanyon,2700.72,26-35,July
I869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,04-05-21,Mall of Istanbul,83.68,26-35,May
I283443,C189493,Male,43,Technology,3,3150,Credit Card,25-05-22,Viaport Outlet,9450,36-45,May
I193271,C242748,Female,40,Food & Beverage,3,15.69,Debit Card,23-12-22,Kanyon,47.07,36-45,December
I985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,24-01-23,Kanyon,4801.28,46-55,January
I200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,14-09-21,Viaport Outlet,7502,18-25,September
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,04-02-22,Metrocity,40.66,18-25,February
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,06-01-22,Metrocity,130.75,26-35,January
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,01-02-22,Mall of Istanbul,7502,26-35,February
I215998,C279370,Female,64,Clothing,5,1500.4,Cash,26-10-22,Cevahir AVM,7502,56-65,October
I338966,C907582,Female,57,Clothing,5,1500.4,Cash,21-09-22,Mall of Istanbul,7502,56-65,September
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,12-12-21,Istinye Park,650.56,<18,December
I149688,C276043,Female,26,Clothing,4,1200.32,Cash,21-08-21,Zorlu Center,4801.28,26-35,August
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,08-10-21,Emaar Square Mall,47.07,18-25,October
I299820,C820515,Female,22,Books,3,45.45,Cash,22-11-21,Kanyon,136.35,18-25,November
I157775,C331761,Male,48,Clothing,1,300.08,Cash,19-03-22,Kanyon,300.08,46-55,March
I317140,C326893,Female,56,Souvenir,5,58.65,Cash,19-10-22,Istinye Park,293.25,56-65,October
I147334,C306395,Male,35,Clothing,2,600.16,Cash,12-01-22,Viaport Outlet,1200.32,26-35,January
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,07-06-21,Metrocity,573.44,56-65,June
I134452,C112750,Female,32,Clothing,1,300.08,Credit Card,15-01-23,Forum Istanbul,300.08,26-35,January
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,11-11-21,Kanyon,4801.28,26-35,November
I740676,C199864,Female,56,Clothing,2,600.16,Credit Card,21-09-22,Istinye Park,1200.32,56-65,September
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,30-05-21,Metrocity,650.56,26-35,May
I222983,C132002,Female,68,Clothing,1,300.08,Credit Card,23-12-21,Metropol AVM,300.08,65+,December
I164665,C255058,Female,64,Technology,2,2100,Cash,30-04-22,Kanyon,4200,56-65,April
I133387,C271799,Female,60,Toys,4,143.36,Cash,07-06-21,Forum Istanbul,573.44,56-65,June
I276763,C765620,Male,64,Toys,5,179.2,Debit Card,21-02-22,Kanyon,896,56-65,February
I273890,C891545,Female,41,Clothing,3,900.24,Debit Card,26-08-21,Emaar Square Mall,2700.72,36-45,August
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,15-12-21,Metrocity,130.75,26-35,December
I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,20-02-21,Mall of Istanbul,300.08,36-45,February
I219780,C658980,Female,29,Clothing,2,600.16,Cash,08-10-21,Kanyon,1200.32,26-35,October
I160221,C319231,Male,25,Clothing,3,900.24,Cash,01-08-22,Mall of Istanbul,2700.72,18-25,August
I106691,C150594,Female,60,Clothing,4,1200.32,Cash,09-09-21,Kanyon,4801.28,56-65,September
I129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,25-10-21,Metrocity,130.75,36-45,October
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,14-12-21,Metropol AVM,5.23,46-55,December
I157056,C200826,Female,50,Clothing,5,1500.4,Cash,20-06-21,Kanyon,7502,46-55,June
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,07-04-21,Metropol AVM,300.08,46-55,April
I762439,C663463,Female,45,Books,4,60.6,Cash,05-12-21,Metrocity,242.4,36-45,December
I300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,25-05-21,Zorlu Center,40.66,36-45,May
I151588,C310642,Male,24,Books,3,45.45,Credit Card,12-04-22,Metrocity,136.35,18-25,April
I657069,C651699,Male,40,Clothing,4,1200.32,Cash,16-12-21,Mall of Istanbul,4801.28,36-45,December
I122655,C989693,Female,32,Technology,2,2100,Credit Card,21-02-21,Metropol AVM,4200,26-35,February
I236914,C123581,Female,28,Clothing,3,900.24,Cash,26-10-21,Mall of Istanbul,2700.72,26-35,October
I247471,C192446,Female,22,Toys,1,35.84,Cash,18-12-22,Mall of Istanbul,35.84,18-25,December
I362306,C143343,Female,21,Clothing,1,300.08,Credit Card,19-09-22,Metrocity,300.08,18-25,September
I215279,C223343,Female,31,Clothing,2,600.16,Credit Card,01-02-23,Kanyon,1200.32,26-35,February
I216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,05-10-22,Mall of Istanbul,47.07,56-65,October
I246375,C236365,Female,67,Cosmetics,2,81.32,Cash,28-11-21,Kanyon,162.64,65+,November
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,03-08-21,Kanyon,15004.25,46-55,August
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,12-10-22,Metropol AVM,4801.28,36-45,October
I206422,C289933,Female,48,Food & Beverage,2,10.46,Credit Card,28-09-22,Kanyon,20.92,46-55,September
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,12-07-21,Metrocity,47.07,46-55,July
I168037,C816586,Male,27,Toys,4,143.36,Cash,03-07-21,Mall of Istanbul,573.44,26-35,July
I307534,C434171,Female,28,Cosmetics,4,162.64,Cash,26-03-22,Viaport Outlet,650.56,26-35,March
I259196,C215384,Female,43,Toys,4,143.36,Credit Card,17-05-22,Cevahir AVM,573.44,36-45,May
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,11-04-22,Kanyon,293.25,46-55,April
I289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,22-10-21,Kanyon,130.75,36-45,October
I147203,C340063,Female,59,Cosmetics,5,203.3,Cash,20-12-21,Istinye Park,1016.5,56-65,December
I323788,C131786,Female,32,Clothing,1,300.08,Credit Card,17-03-22,Metropol AVM,300.08,26-35,March
I285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,23-06-22,Metropol AVM,293.25,36-45,June
I288152,C269623,Female,30,Technology,3,3150,Debit Card,19-06-21,Mall of Istanbul,9450,26-35,June
I134126,C847171,Male,22,Clothing,1,300.08,Debit Card,30-08-22,Istinye Park,300.08,18-25,August
I311052,C556552,Female,51,Clothing,4,1200.32,Cash,20-11-21,Cevahir AVM,4801.28,46-55,November
I176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,31-07-21,Viaport Outlet,20.92,18-25,July
I167993,C303493,Male,40,Toys,2,71.68,Cash,20-02-22,Kanyon,143.36,36-45,February
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,09-02-23,Emaar Square Mall,7502,36-45,February
I164597,C111766,Female,24,Clothing,1,300.08,Cash,24-03-21,Mall of Istanbul,300.08,18-25,March
I184307,C175946,Male,22,Food & Beverage,1,5.23,Credit Card,25-08-22,Kanyon,5.23,18-25,August
I289905,C160005,Female,61,Cosmetics,4,162.64,Cash,21-10-21,Kanyon,650.56,56-65,October
I416544,C599109,Female,25,Food & Beverage,2,10.46,Credit Card,28-05-22,Metrocity,20.92,18-25,May
I601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,05-03-22,Zorlu Center,293.25,65+,March
I257890,C259342,Female,59,Shoes,1,600.17,Cash,05-10-21,Kanyon,600.17,56-65,October
I260028,C208108,Male,38,Clothing,4,1200.32,Cash,16-04-21,Metropol AVM,4801.28,36-45,April
I170160,C244213,Male,34,Toys,2,71.68,Debit Card,26-02-23,Metrocity,143.36,26-35,February
I624164,C102685,Female,26,Clothing,1,300.08,Cash,20-03-21,Kanyon,300.08,26-35,March
I143353,C244291,Female,59,Souvenir,5,58.65,Cash,15-05-22,Metrocity,293.25,56-65,May
I278401,C162371,Female,53,Toys,1,35.84,Debit Card,31-01-23,Mall of Istanbul,35.84,46-55,January
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,02-10-21,Viaport Outlet,650.56,18-25,October
I244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,03-08-22,Viaport Outlet,7502,18-25,August
I179048,C270129,Female,66,Technology,3,3150,Debit Card,28-03-21,Cevahir AVM,9450,65+,March
I165202,C617189,Female,56,Cosmetics,4,162.64,Cash,21-11-22,Mall of Istanbul,650.56,56-65,November
I328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,12-02-21,Metropol AVM,46.92,36-45,February
I417106,C292356,Male,28,Clothing,3,900.24,Cash,03-04-21,Cevahir AVM,2700.72,26-35,April
I248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,03-07-22,Metropol AVM,5.23,36-45,July
I112270,C244780,Female,26,Food & Beverage,4,20.92,Cash,14-02-21,Mall of Istanbul,83.68,26-35,February
I318831,C139568,Female,41,Cosmetics,4,162.64,Credit Card,15-07-22,Viaport Outlet,650.56,36-45,July
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,12-07-21,Viaport Outlet,4801.28,46-55,July
I334246,C311034,Female,23,Cosmetics,3,121.98,Cash,19-05-22,Mall of Istanbul,365.94,18-25,May
I198233,C584141,Female,31,Cosmetics,4,162.64,Cash,13-02-23,Metropol AVM,650.56,26-35,February
I310819,C221934,Male,26,Cosmetics,5,203.3,Credit Card,27-11-22,Forum Istanbul,1016.5,26-35,November
I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,02-03-21,Viaport Outlet,47.07,56-65,March
I131054,C257990,Female,34,Toys,4,143.36,Cash,16-10-21,Kanyon,573.44,26-35,October
I149521,C168348,Female,29,Clothing,2,600.16,Cash,04-11-21,Kanyon,1200.32,26-35,November
I156233,C161285,Female,20,Clothing,1,300.08,Credit Card,11-01-23,Mall of Istanbul,300.08,18-25,January
I295784,C166191,Female,54,Cosmetics,3,121.98,Credit Card,08-06-22,Forum Istanbul,365.94,46-55,June
I255381,C172966,Male,40,Clothing,4,1200.32,Debit Card,24-05-21,Metrocity,4801.28,36-45,May
I337719,C320928,Male,40,Cosmetics,5,203.3,Cash,18-01-21,Istinye Park,1016.5,36-45,January
I220863,C131497,Male,21,Books,4,60.6,Cash,22-07-21,Mall of Istanbul,242.4,18-25,July
I530401,C526660,Female,32,Technology,2,2100,Cash,25-09-22,Zorlu Center,4200,26-35,September
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,10-09-21,Metrocity,2700.72,46-55,September
I316629,C204741,Female,41,Souvenir,3,35.19,Cash,16-01-22,Cevahir AVM,105.57,36-45,January
I795251,C181619,Male,33,Cosmetics,5,203.3,Cash,13-11-22,Kanyon,1016.5,26-35,November
I151099,C250395,Female,67,Souvenir,2,23.46,Credit Card,14-03-21,Mall of Istanbul,46.92,65+,March
I286193,C322994,Male,37,Cosmetics,3,121.98,Cash,23-07-22,Istinye Park,365.94,36-45,July
I399563,C250673,Female,38,Toys,1,35.84,Cash,24-06-21,Metropol AVM,35.84,36-45,June
I229355,C192978,Male,28,Shoes,5,3000.85,Credit Card,30-01-21,Kanyon,15004.25,26-35,January
I147727,C163033,Female,38,Books,1,15.15,Credit Card,17-04-22,Kanyon,15.15,36-45,April
I504141,C558480,Female,56,Cosmetics,1,40.66,Credit Card,23-02-23,Kanyon,40.66,56-65,February
I246151,C287409,Male,25,Books,3,45.45,Debit Card,05-07-21,Metropol AVM,136.35,18-25,July
I164675,C993675,Male,66,Books,5,75.75,Cash,31-08-21,Kanyon,378.75,65+,August
I606511,C307535,Female,37,Souvenir,2,23.46,Credit Card,09-09-22,Viaport Outlet,46.92,36-45,September
I342816,C238961,Female,19,Food & Beverage,2,10.46,Cash,04-11-21,Mall of Istanbul,20.92,18-25,November
I151764,C671866,Female,53,Clothing,5,1500.4,Cash,30-06-22,Kanyon,7502,46-55,June
I226172,C171154,Female,69,Shoes,1,600.17,Cash,24-07-21,Kanyon,600.17,65+,July
I737630,C848969,Male,69,Clothing,5,1500.4,Cash,15-04-22,Metropol AVM,7502,65+,April
I891311,C240171,Female,31,Food & Beverage,2,10.46,Debit Card,25-09-21,Metropol AVM,20.92,26-35,September
I127733,C665777,Male,39,Books,5,75.75,Cash,24-08-21,Kanyon,378.75,36-45,August
I202398,C256730,Male,53,Shoes,5,3000.85,Cash,26-01-21,Zorlu Center,15004.25,46-55,January
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,05-02-22,Metropol AVM,162.64,26-35,February
I771414,C183404,Male,63,Food & Beverage,3,15.69,Cash,09-12-22,Forum Istanbul,47.07,56-65,December
I139520,C316398,Female,34,Clothing,5,1500.4,Cash,14-02-21,Mall of Istanbul,7502,26-35,February
I291540,C557245,Male,25,Food & Beverage,1,5.23,Debit Card,17-07-22,Kanyon,5.23,18-25,July
I798213,C662958,Female,20,Shoes,3,1800.51,Cash,03-01-21,Metropol AVM,5401.53,18-25,January
I232338,C545065,Female,18,Clothing,4,1200.32,Debit Card,22-09-22,Metropol AVM,4801.28,<18,September
I267713,C284679,Male,53,Cosmetics,4,162.64,Credit Card,27-06-21,Kanyon,650.56,46-55,June
I525798,C581947,Male,46,Cosmetics,4,162.64,Cash,03-02-23,Mall of Istanbul,650.56,46-55,February
I353272,C199311,Female,34,Clothing,1,300.08,Credit Card,29-07-21,Istinye Park,300.08,26-35,July
I165687,C206501,Female,61,Clothing,3,900.24,Cash,08-12-22,Metropol AVM,2700.72,56-65,December
I169015,C726021,Female,38,Clothing,5,1500.4,Credit Card,11-08-22,Mall of Istanbul,7502,36-45,August
I111305,C448846,Female,67,Food & Beverage,3,15.69,Cash,13-09-21,Metropol AVM,47.07,65+,September
I187171,C168663,Male,33,Toys,4,143.36,Credit Card,27-05-22,Istinye Park,573.44,26-35,May
I148276,C616106,Female,63,Clothing,4,1200.32,Debit Card,07-12-22,Zorlu Center,4801.28,56-65,December
I783231,C771066,Female,21,Clothing,5,1500.4,Debit Card,05-01-22,Cevahir AVM,7502,18-25,January
I313426,C101196,Female,41,Cosmetics,4,162.64,Debit Card,05-04-22,Kanyon,650.56,36-45,April
I112291,C898405,Female,48,Food & Beverage,1,5.23,Credit Card,10-01-22,Cevahir AVM,5.23,46-55,January
I402983,C372643,Male,27,Technology,1,1050,Debit Card,30-01-22,Kanyon,1050,26-35,January
I155076,C195626,Female,22,Toys,5,179.2,Credit Card,21-12-22,Kanyon,896,18-25,December
I204056,C622748,Female,54,Clothing,4,1200.32,Credit Card,24-02-21,Metropol AVM,4801.28,46-55,February
I218385,C290280,Female,51,Toys,1,35.84,Cash,19-07-22,Metrocity,35.84,46-55,July
I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,15-01-23,Metropol AVM,300.08,26-35,January
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,12-01-23,Kanyon,2400.68,36-45,January
I204147,C252021,Female,20,Shoes,3,1800.51,Credit Card,05-11-22,Kanyon,5401.53,18-25,November
I361028,C647656,Female,59,Shoes,2,1200.34,Cash,23-07-21,Metrocity,2400.68,56-65,July
I915945,C250065,Female,23,Clothing,4,1200.32,Credit Card,30-06-22,Metropol AVM,4801.28,18-25,June
I165461,C230766,Female,25,Clothing,1,300.08,Credit Card,01-11-22,Emaar Square Mall,300.08,18-25,November
I762381,C243515,Male,63,Shoes,1,600.17,Cash,27-10-22,Kanyon,600.17,56-65,October
I818298,C204632,Male,21,Clothing,5,1500.4,Debit Card,21-08-22,Kanyon,7502,18-25,August
I261290,C252598,Female,56,Clothing,3,900.24,Credit Card,13-03-21,Cevahir AVM,2700.72,56-65,March
I215578,C866033,Male,39,Cosmetics,2,81.32,Credit Card,04-08-22,Kanyon,162.64,36-45,August
I136666,C288416,Male,50,Food & Beverage,2,10.46,Credit Card,01-04-21,Mall of Istanbul,20.92,46-55,April
I120948,C340089,Female,54,Shoes,4,2400.68,Debit Card,08-08-21,Mall of Istanbul,9602.72,46-55,August
I173679,C555040,Male,27,Technology,3,3150,Credit Card,28-06-21,Viaport Outlet,9450,26-35,June
I638275,C809281,Male,56,Clothing,5,1500.4,Credit Card,25-01-21,Emaar Square Mall,7502,56-65,January
I551237,C375325,Female,53,Clothing,4,1200.32,Cash,22-11-21,Metropol AVM,4801.28,46-55,November
I239285,C155335,Female,62,Cosmetics,3,121.98,Credit Card,13-11-22,Viaport Outlet,365.94,56-65,November
I723062,C225051,Female,42,Clothing,4,1200.32,Credit Card,12-08-22,Kanyon,4801.28,36-45,August
I353329,C635016,Female,68,Toys,2,71.68,Credit Card,18-09-22,Metrocity,143.36,65+,September
I321920,C165705,Male,27,Clothing,4,1200.32,Cash,08-06-21,Mall of Istanbul,4801.28,26-35,June
I176115,C709571,Male,39,Cosmetics,4,162.64,Cash,30-08-21,Viaport Outlet,650.56,36-45,August
I251743,C851508,Male,44,Toys,3,107.52,Debit Card,19-06-22,Kanyon,322.56,36-45,June
I964173,C184126,Female,52,Clothing,3,900.24,Debit Card,15-12-22,Emaar Square Mall,2700.72,46-55,December
